vegas_team,espn_team,ncaa_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url,espn_logo_url
Syracuse Orange,Syracuse,Syracuse,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png
Virginia Tech Hokies,Virginia Tech,Virginia Tech,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Virginia_Tech_Hokies_logo.svg/320px-Virginia_Tech_Hokies_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png
UCLA Bruins,UCLA,UCLA,,UCLA,UCLA,UCLA,UCLA,UCLA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/UCLA_Bruins_script.svg/320px-UCLA_Bruins_script.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png
Ole Miss Rebels,Mississippi,Mississippi,,Ole Miss,Mississippi,Mississippi,Mississippi,Mississippi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/320px-Ole_Miss_Rebels_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png
Georgia Bulldogs,Georgia,Georgia,,Georgia,,,Georgia,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/320px-Georgia_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png
Kansas St Wildcats,Kansas St.,Kansas St.,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Kansas_State_Wildcats_logo.svg/320px-Kansas_State_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png
Maryland Terrapins,Maryland,Maryland,,Maryland,Maryland,Maryland,Maryland,Maryland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maryland_Terrapins_logo.svg/219px-Maryland_Terrapins_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png
James Madison Dukes,James Madison,James Madison,256.0,James Madison,James Madison,James Madison,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/James_Madison_University_Athletics_logo.svg/320px-James_Madison_University_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png
Yale Bulldogs,Yale,Yale,43.0,Yale,Yale,Yale,Yale,Yale,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Yale_Bulldogs_script.svg/1024px-Yale_Bulldogs_script.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png
Xavier Musketeers,Xavier,Xavier,,Xavier,,,Xavier,Xavier,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Xavier_Musketeers_logo.svg/301px-Xavier_Musketeers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2752.png
